Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Asia,Western Asia,Lebanon,7.1,6.3,7.5,8,8.5,1.5,3.5,6.5,4,6,9,8.5,4,9,6.5,6.5,5.5,7.9,6,7.5,9.5,8.5,8,3.46,2.5,3,5.5,4,3.5,3,3,2.5,1.5,4,3.5,5.5
Asia,South-Eastern Asia,Laos,6.12,6.33,7,6.5,5.5,8,8.5,3.5,7.5,2.5,4.5,8.5,5.5,8,7.5,7,5,5.9,1.5,6.5,6.5,8,7,3.46,3.5,2.5,4,4,3,4,2.5,3.5,4,4,3.5,3
Africa,West Africa,Burkina Faso,5.92,5.83,7,4.5,8,5.5,6.5,8.5,4,4,4,5.5,5.5,5.5,6,6.5,6.5,6,4,7,7,6,6,3.46,2.5,3.5,5,5.5,4,3,2,4,3,2.5,2,4.5
Africa,West Africa,Niger,5.7,5.7,7.5,8,8,2,5,7.5,3,6.5,7,7.5,1,6.5,7,5,4,5.7,4,7.5,8.5,5.5,3,3.46,4,2.5,5.5,4.5,2.5,4,3.5,4,3.5,2.5,2.5,2.5
Africa,West Africa,Benin,5.32,5.43,6.5,4,6,6,5,5,4.5,7,5,6,4.5,6,7,5,4,5.2,2,5.5,6,8,4.5,3.5,3.5,4,4.5,3,3,4,3,4,4,3,2,4
Asia,South-Eastern Asia,Cambodia,6.85,6.7,8.5,7,5.5,8,8.5,8,4.5,2.5,4.5,8,7.5,8,8,5.5,6.5,7,4.5,7,8.5,8,7,3.63,4,3.5,5,4,4,3.5,4,4,4,2.5,3,2
Europe,Central & Eastern Europe,Russia,6.87,6.83,7.5,6.5,8.5,7.5,7.5,7.5,6,3.5,5,8.5,9,8.5,4.5,6.5,6,6.9,6,7,8.5,5,8,3.79,4,3,3,6,4,4.5,5,3.5,4,2.5,3.5,2.5
Asia,Central Asia and the Caucasus,Kyrgyzstan,5.32,4.63,7,5.5,3.5,2.5,3.5,6.5,7.5,2,6,5,2,6,5,4,3.5,6,6.5,6,8.5,4.5,4.5,3.83,3,2.5,4.5,4,3,3,4,3,5,4,5,5
Africa,North Africa,Egypt,5.05,5.1,6,6,7,1,5.5,4,5.5,2.5,7.5,8,2.5,8,6,3.5,3.5,5,3,5.5,8.5,5,3,3.83,3.5,2.5,5,4.5,3,5,6,5,4,2.5,2.5,2.5
Asia,South-Eastern Asia,Timor-Leste,4.08,3.67,4.5,5,4,3,5,2,2.5,2.5,3.5,4,2,5.5,2.5,5,4,4.5,5,4,4.5,5,4,3.83,3.5,3.5,4,4,3.5,4,3,4,3.5,3.5,4.5,5
Africa,East Africa,Uganda,6.55,6.4,7.5,6.5,7,7,7,8,6,4.5,6.5,4,6,7.5,7.5,6,5,6.7,5.5,6.5,8,7,6.5,3.88,4.5,2,5,5,4,4,5.5,3,3.5,2,4,4
Europe,Central & Eastern Europe,Bosnia and Herzegovina,5.85,5.3,5.5,6.5,6,4.5,3.5,4,6.5,5.5,6,6,4.5,6,4.5,5.5,5,6.4,4,6,8,8,6,3.88,4,3.5,6,4,2,3.5,4,3.5,3.5,4,4.5,4
Asia,Central Asia and the Caucasus,Uzbekistan,4.95,4.6,7.5,6,3,3,3.5,7,6.5,1.5,4.5,4.5,3,6,4,5,4,5.3,5,5.5,6.5,5,4.5,3.88,3.5,3,4,4,3,3.5,4.5,3.5,5,4,5.5,3
